Image_ID,Penultimate_Output,GT_Value
02091__00388.jpg,"[array([[1.2376447 , 1.4557774 , 0.        , 0.93422556]], dtype=float32)]","[array([[ 0.8506103, -6.0757823]], dtype=float32)]"
02091__00359.jpg,"[array([[1.024598 , 2.2139828, 0.       , 1.052843 ]], dtype=float32)]","[array([[ 1.1054044, -3.743794 ]], dtype=float32)]"
02091__00738.jpg,"[array([[1.360213  , 3.4092197 , 0.        , 0.86022717]], dtype=float32)]","[array([[  1.4752239, -10.054551 ]], dtype=float32)]"
02091__00201.jpg,"[array([[1.0758456, 1.9809887, 0.       , 0.9950236]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02091__00660.jpg,"[array([[1.8778086, 2.5918708, 0.       , 1.1355325]], dtype=float32)]","[array([[ 3.3641067, -6.0065   ]], dtype=float32)]"
02091__00116.jpg,"[array([[0.44193554, 1.6482214 , 0.        , 1.1109316 ]], dtype=float32)]","[array([[-0.04545369, -3.285781  ]], dtype=float32)]"
02091__00032.jpg,"[array([[1.8318751 , 1.3324633 , 0.        , 0.83469933]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00795.jpg,"[array([[0.38265657, 1.5166162 , 0.        , 1.139243  ]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00821.jpg,"[array([[1.1452483, 2.0722427, 0.       , 1.0321448]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02091__00453.jpg,"[array([[0.       , 3.184275 , 0.       , 1.2926164]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02091__00482.jpg,"[array([[1.3697065 , 1.0393498 , 0.        , 0.77574956]], dtype=float32)]","[array([[ 2.2315576, -5.5767465]], dtype=float32)]"
02091__00325.jpg,"[array([[1.2163131, 4.224073 , 0.       , 0.7118493]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02091__00744.jpg,"[array([[1.4172505, 3.217367 , 0.       , 1.006434 ]], dtype=float32)]","[array([[ 2.9603345, -3.3583314]], dtype=float32)]"
02091__00792.jpg,"[array([[1.2228547 , 1.4937319 , 0.        , 0.92330736]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00035.jpg,"[array([[1.5551907 , 1.095825  , 0.        , 0.10484519]], dtype=float32)]","[array([[ 2.4019222, -4.436055 ]], dtype=float32)]"
02091__00454.jpg,"[array([[0.7938558, 2.9524105, 0.       , 1.0352117]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02091__00826.jpg,"[array([[0.64439195, 2.5627587 , 0.        , 1.0913993 ]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02091__00322.jpg,"[array([[0.92111516, 3.4449658 , 0.        , 0.86962456]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02091__00485.jpg,"[array([[0.74854934, 1.0682642 , 0.        , 1.0071274 ]], dtype=float32)]","[array([[ 2.2315576, -5.5767465]], dtype=float32)]"
02091__00743.jpg,"[array([[0.90754646, 2.4251287 , 0.        , 1.1030583 ]], dtype=float32)]","[array([[  1.4752239, -10.054551 ]], dtype=float32)]"
02091__00049.jpg,"[array([[1.1907284, 1.6310157, 0.       , 0.5056715]], dtype=float32)]","[array([[ 2.2138033, -8.295756 ]], dtype=float32)]"
02091__00428.jpg,"[array([[1.2483228 , 1.0719583 , 0.        , 0.01809598]], dtype=float32)]","[array([[ 3.3641067, -1.427988 ]], dtype=float32)]"
