Image_ID,Penultimate_Output,GT_Value
02301__00267.jpg,"[array([[1.3615924 , 1.0736837 , 0.64054227, 0.        ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02301__00606.jpg,"[array([[1.3186282, 1.8426795, 1.0897467, 1.1359414]], dtype=float32)]","[array([[ 3.1034286, -7.8467274]], dtype=float32)]"
02301__00170.jpg,"[array([[0.3926362, 1.5068948, 0.8976128, 1.1104922]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00511.jpg,"[array([[1.5856291, 0.8507678, 0.5756627, 0.       ]], dtype=float32)]","[array([[ 3.10991 , -4.926039]], dtype=float32)]"
02301__00028.jpg,"[array([[0.6268379, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00449.jpg,"[array([[0.5697111, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.7854868, -2.9301379]], dtype=float32)]"
02301__00498.jpg,"[array([[0.5232043 , 1.1490372 , 0.79403925, 0.09664673]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00054.jpg,"[array([[2.1408472, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.5779206, -2.743746 ]], dtype=float32)]"
02301__00392.jpg,"[array([[1.710916  , 0.20997936, 0.01629614, 0.        ]], dtype=float32)]","[array([[ 2.2145  , -3.716244]], dtype=float32)]"
02301__00847.jpg,"[array([[1.2190855 , 2.0690205 , 0.77340865, 1.1296797 ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02301__00435.jpg,"[array([[0.91906554, 0.74788266, 0.31928727, 0.        ]], dtype=float32)]","[array([[ 2.9448779, -3.450745 ]], dtype=float32)]"
02301__00343.jpg,"[array([[1.0762367, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00722.jpg,"[array([[1.2581515 , 0.4223894 , 0.23392923, 0.        ]], dtype=float32)]","[array([[ 1.3575537, -3.6346984]], dtype=float32)]"
02301__00085.jpg,"[array([[0.69897276, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-1.1466027, -2.0411797]], dtype=float32)]"
02301__00053.jpg,"[array([[1.7238346, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.5779206, -2.743746 ]], dtype=float32)]"
02301__00432.jpg,"[array([[1.2522135 , 0.7125091 , 0.32931593, 0.        ]], dtype=float32)]","[array([[ 2.9448779, -3.450745 ]], dtype=float32)]"
02301__00840.jpg,"[array([[1.5951788 , 0.81584334, 0.4843875 , 0.        ]], dtype=float32)]","[array([[ 2.4810355, -6.1975994]], dtype=float32)]"
02301__00395.jpg,"[array([[1.4353648, 0.1127772, 0.       , 0.       ]], dtype=float32)]","[array([[ 2.2145  , -3.716244]], dtype=float32)]"
02301__00344.jpg,"[array([[1.3281107, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00082.jpg,"[array([[0.2223433, 0.7744095, 0.       , 0.       ]], dtype=float32)]","[array([[-1.1466027, -2.0411797]], dtype=float32)]"
02301__00725.jpg,"[array([[1.4553909, 2.5416842, 0.7721982, 1.1360431]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
02301__00260.jpg,"[array([[1.2266554 , 0.74498487, 0.31174192, 0.        ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02301__00601.jpg,"[array([[1.1853151, 0.2780163, 0.127633 , 0.       ]], dtype=float32)]","[array([[ 1.5779206, -2.743746 ]], dtype=float32)]"
02301__00177.jpg,"[array([[0.31823853, 1.3583106 , 1.037756  , 1.1254543 ]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00516.jpg,"[array([[1.6211342 , 0.36352044, 0.3799052 , 0.        ]], dtype=float32)]","[array([[ 3.10991 , -4.926039]], dtype=float32)]"
02301__00788.jpg,"[array([[1.3277813 , 2.2940373 , 0.72448605, 0.9377412 ]], dtype=float32)]","[array([[ 0.72488207, -9.728868  ]], dtype=float32)]"
02301__00338.jpg,"[array([[1.099204, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00759.jpg,"[array([[1.4578148, 2.3913155, 0.7814127, 1.1789898]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00212.jpg,"[array([[1.3270717 , 0.7891071 , 0.20272695, 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02301__00673.jpg,"[array([[0.48673382, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-1.1466027, -2.0411797]], dtype=float32)]"
02301__00105.jpg,"[array([[0.96184576, 1.2285259 , 0.7363082 , 0.10278904]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
02301__00564.jpg,"[array([[1.2426633, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00179.jpg,"[array([[0.23689787, 1.3382299 , 0.9576584 , 1.1346847 ]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00518.jpg,"[array([[1.3964779 , 0.4626397 , 0.33975258, 0.        ]], dtype=float32)]","[array([[ 3.10991 , -4.926039]], dtype=float32)]"
02301__00786.jpg,"[array([[0.88684505, 2.848068  , 1.0885549 , 0.77908045]], dtype=float32)]","[array([[ 0.72488207, -9.728868  ]], dtype=float32)]"
02301__00440.jpg,"[array([[0.88810265, 0.2876737 , 0.17443156, 0.        ]], dtype=float32)]","[array([[-0.7854868, -2.9301379]], dtype=float32)]"
02301__00832.jpg,"[array([[1.4461447 , 0.8846755 , 0.72458506, 0.        ]], dtype=float32)]","[array([[ 2.4810355, -6.1975994]], dtype=float32)]"
02301__00336.jpg,"[array([[1.1162012, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00491.jpg,"[array([[0.5510816, 0.9035263, 0.6444344, 0.       ]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00757.jpg,"[array([[1.2902706, 2.2013843, 0.7755278, 1.1561114]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00269.jpg,"[array([[0.5843925, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-0.835397 , -1.6563889]], dtype=float32)]"
02301__00608.jpg,"[array([[1.3721818 , 1.413305  , 0.7863861 , 0.47449973]], dtype=float32)]","[array([[ 3.1034286, -7.8467274]], dtype=float32)]"
02301__00026.jpg,"[array([[0.91117096, 0.        , 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
02301__00781.jpg,"[array([[1.0313109 , 2.5835917 , 1.1409634 , 0.90173966]], dtype=float32)]","[array([[ 0.72488207, -9.728868  ]], dtype=float32)]"
02301__00835.jpg,"[array([[1.3701079 , 0.3479683 , 0.19342564, 0.        ]], dtype=float32)]","[array([[ 2.4810355, -6.1975994]], dtype=float32)]"
02301__00447.jpg,"[array([[0.6317134 , 0.41406316, 0.28434935, 0.        ]], dtype=float32)]","[array([[-0.7854868, -2.9301379]], dtype=float32)]"
02301__00496.jpg,"[array([[0.5565437 , 1.3238375 , 1.1523473 , 0.70489085]], dtype=float32)]","[array([[-0.7010517, -6.0213766]], dtype=float32)]"
02301__00331.jpg,"[array([[1.017097  , 0.3010698 , 0.27684835, 0.        ]], dtype=float32)]","[array([[ 1.3575537, -3.6346984]], dtype=float32)]"
02301__00750.jpg,"[array([[0.78694963, 2.7058768 , 0.8149589 , 0.8358148 ]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00215.jpg,"[array([[0.96740216, 0.32506076, 0.07181296, 0.        ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
02301__00674.jpg,"[array([[0.5910363, 2.6765983, 1.0758601, 0.7754175]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
02301__00102.jpg,"[array([[0.7787169 , 1.1708125 , 0.40216157, 0.01235798]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
02301__00563.jpg,"[array([[1.251552, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00849.jpg,"[array([[1.6355006 , 1.4084362 , 0.88433504, 0.4110399 ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
02301__00765.jpg,"[array([[1.4348357, 2.1209311, 1.1324216, 1.2022067]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
02301__00304.jpg,"[array([[0.39266548, 0.89743125, 0.22074214, 0.        ]], dtype=float32)]","[array([[-0.7854868, -2.9301379]], dtype=float32)]"
02301__00800.jpg,"[array([[0.7042859, 2.659299 , 0.7569554, 0.8316152]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
02301__00472.jpg,"[array([[1.371088 , 1.5809724, 1.2498287, 1.1087949]], dtype=float32)]","[array([[ 3.2632387, -8.817045 ]], dtype=float32)]"
02301__00013.jpg,"[array([[1.0610324, 1.968385 , 0.6570545, 1.1307688]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
02301__00556.jpg,"[array([[0.82616085, 0.02296902, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.464489 , -1.9531932]], dtype=float32)]"
02301__00137.jpg,"[array([[0.56631726, 2.3233645 , 0.8187569 , 0.90858763]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
02301__00641.jpg,"[array([[0.4303987 , 1.3116341 , 0.9550767 , 0.81134003]], dtype=float32)]","[array([[-0.0865  , -8.294756]], dtype=float32)]"
02301__00587.jpg,"[array([[1.0573906 , 0.27450094, 0.1739626 , 0.        ]], dtype=float32)]","[array([[ 2.4265444, -3.0903735]], dtype=float32)]"
02301__00220.jpg,"[array([[0.9417125 , 0.02742844, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.064   , -1.426988]], dtype=float32)]"
