Image_ID,Penultimate_Output,GT_Value
01326__00425.jpg,"[array([[1.5308161, 2.8151224, 0.       , 0.6710619]], dtype=float32)]","[array([[-1.237 , -6.0055]], dtype=float32)]"
01326__00518.jpg,"[array([[0.48970115, 2.00498   , 0.        , 1.0952023 ]], dtype=float32)]","[array([[-0.37773487, -7.348909  ]], dtype=float32)]"
01326__00635.jpg,"[array([[1.0606822, 2.0640464, 0.       , 0.9341671]], dtype=float32)]","[array([[ 2.2145  , -8.294756]], dtype=float32)]"
01326__00265.jpg,"[array([[1.5597463 , 1.2782807 , 0.        , 0.80882204]], dtype=float32)]","[array([[ 3.1766007, -5.9298944]], dtype=float32)]"
01326__00287.jpg,"[array([[0.9598312 , 1.8581743 , 0.        , 0.98601615]], dtype=float32)]","[array([[ 0.5656391, -8.091167 ]], dtype=float32)]"
01326__00589.jpg,"[array([[1.687838 , 1.0507344, 0.       , 0.       ]], dtype=float32)]","[array([[ 3.365 , -6.0055]], dtype=float32)]"
01326__00627.jpg,"[array([[0.85695845, 1.213327  , 0.        , 0.        ]], dtype=float32)]","[array([[ -0.5758834, -10.536893 ]], dtype=float32)]"
01326__00772.jpg,"[array([[1.6642047, 1.6108742, 0.       , 0.7638051]], dtype=float32)]","[array([[ 1.7148993, -4.6958933]], dtype=float32)]"
01326__00096.jpg,"[array([[1.1735734, 1.6739024, 0.       , 0.8148752]], dtype=float32)]","[array([[ 1.064 , -6.0055]], dtype=float32)]"
01326__00438.jpg,"[array([[0.38056976, 0.98592335, 0.        , 0.8005964 ]], dtype=float32)]","[array([[-0.7277223, -5.9635344]], dtype=float32)]"
01326__00234.jpg,"[array([[1.6089878 , 0.60333323, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.3815773, -5.3264384]], dtype=float32)]"
01326__00237.jpg,"[array([[1.1607462, 0.6495837, 0.       , 0.       ]], dtype=float32)]","[array([[  3.365   , -10.584012]], dtype=float32)]"
01326__00872.jpg,"[array([[1.5372351, 3.7463882, 0.       , 0.7462553]], dtype=float32)]","[array([[  1.064   , -10.584012]], dtype=float32)]"
01326__00061.jpg,"[array([[1.2811666, 1.1256574, 0.       , 0.6744037]], dtype=float32)]","[array([[ 1.6839163, -4.8267436]], dtype=float32)]"
01326__00561.jpg,"[array([[1.1052716, 0.8861717, 0.       , 0.       ]], dtype=float32)]","[array([[-0.0865  , -3.716244]], dtype=float32)]"
01326__00205.jpg,"[array([[0.882876, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 1.064   , -1.426988]], dtype=float32)]"
01326__00384.jpg,"[array([[0.3185143, 0.6639567, 0.       , 0.       ]], dtype=float32)]","[array([[-0.7427512, -3.3236547]], dtype=float32)]"
01326__00216.jpg,"[array([[0.6321753, 0.2535242, 0.       , 0.       ]], dtype=float32)]","[array([[-0.3429146, -6.896609 ]], dtype=float32)]"
01326__00126.jpg,"[array([[1.2257462 , 0.40646097, 0.        , 0.        ]], dtype=float32)]","[array([[ -1.237   , -10.584012]], dtype=float32)]"
01326__00172.jpg,"[array([[1.572832  , 0.34824106, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.2637262, -4.5108924]], dtype=float32)]"
01326__00768.jpg,"[array([[1.4685686, 1.8189666, 0.       , 0.5793744]], dtype=float32)]","[array([[ 2.9917054, -5.6740084]], dtype=float32)]"
01326__00018.jpg,"[array([[1.4262605 , 0.50361615, 0.        , 0.        ]], dtype=float32)]","[array([[ 2.5137963, -2.6104949]], dtype=float32)]"
01326__00330.jpg,"[array([[1.1325969, 2.3228998, 0.       , 1.040328 ]], dtype=float32)]","[array([[-0.0865  , -8.294756]], dtype=float32)]"
01326__00839.jpg,"[array([[0.8689142 , 0.24693993, 0.        , 0.        ]], dtype=float32)]","[array([[-0.1818894, -2.4679334]], dtype=float32)]"
01326__00672.jpg,"[array([[1.131603  , 0.13363485, 0.        , 0.        ]], dtype=float32)]","[array([[ 2.2145  , -3.716244]], dtype=float32)]"
01326__00851.jpg,"[array([[0.98271775, 1.6393503 , 0.        , 0.6655453 ]], dtype=float32)]","[array([[-0.24804597, -7.0808992 ]], dtype=float32)]"
01326__00540.jpg,"[array([[0.26594043, 0.35891846, 0.        , 0.        ]], dtype=float32)]","[array([[-1.237   , -1.426988]], dtype=float32)]"
01326__00387.jpg,"[array([[0.4357095, 0.5948099, 0.       , 0.       ]], dtype=float32)]","[array([[-1.0482773, -4.3173704]], dtype=float32)]"
01326__00121.jpg,"[array([[1.1707944, 0.3717821, 0.       , 0.       ]], dtype=float32)]","[array([[ 3.365   , -1.426988]], dtype=float32)]"
01326__00822.jpg,"[array([[1.5964285, 2.2333865, 0.       , 1.0356258]], dtype=float32)]","[array([[ 2.4467626, -8.447461 ]], dtype=float32)]"
