Image_ID,Penultimate_Output,GT_Value
02240__00051.jpg,"[array([[0.9404743, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 0.8016186, -1.6866294]], dtype=float32)]"
02240__00086.jpg,"[array([[0.8730243 , 2.0728998 , 0.88327086, 1.0666449 ]], dtype=float32)]","[array([[-0.08680333, -8.295756  ]], dtype=float32)]"
02240__00225.jpg,"[array([[2.2297347, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.3686502, -2.161914 ]], dtype=float32)]"
02240__00556.jpg,"[array([[1.9347509 , 0.17983776, 0.07841991, 0.        ]], dtype=float32)]","[array([[ 2.9763005, -3.3573499]], dtype=float32)]"
02240__00121.jpg,"[array([[0.58916104, 1.235924  , 0.7606286 , 0.5113284 ]], dtype=float32)]","[array([[-0.26540843, -4.4810424 ]], dtype=float32)]"
02240__00694.jpg,"[array([[1.4114227, 2.425892 , 0.9386536, 1.1281323]], dtype=float32)]","[array([[  1.0635  , -10.585012]], dtype=float32)]"
02240__00325.jpg,"[array([[1.3206064 , 0.12600514, 0.        , 0.        ]], dtype=float32)]","[array([[ 1.7750372, -4.7103243]], dtype=float32)]"
02240__00255.jpg,"[array([[1.4895124, 2.5101454, 1.0522759, 1.1263227]], dtype=float32)]","[array([[  3.3641067, -10.585012 ]], dtype=float32)]"
02240__00293.jpg,"[array([[1.937015, 0.      , 0.      , 0.      ]], dtype=float32)]","[array([[ 2.2138033, -3.717244 ]], dtype=float32)]"
02240__00812.jpg,"[array([[1.7327937, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 2.0334473, -2.5608008]], dtype=float32)]"
02240__00067.jpg,"[array([[1.564334 , 1.5587234, 1.2736013, 1.0066531]], dtype=float32)]","[array([[ 2.3825927, -7.5005994]], dtype=float32)]"
02240__00305.jpg,"[array([[0.5635857 , 0.23888446, 0.        , 0.        ]], dtype=float32)]","[array([[-1.2240815, -4.7256603]], dtype=float32)]"
02240__00191.jpg,"[array([[2.0502775, 1.0773691, 0.6411901, 0.       ]], dtype=float32)]","[array([[ 3.3641067, -6.0065   ]], dtype=float32)]"
02240__00530.jpg,"[array([[1.8844416, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[ 3.3641067, -1.427988 ]], dtype=float32)]"
02240__00844.jpg,"[array([[0.5163808 , 1.1623394 , 0.91979504, 0.36668852]], dtype=float32)]","[array([[-1.2371067, -6.0065   ]], dtype=float32)]"
02240__00494.jpg,"[array([[0.8594054, 0.       , 0.       , 0.       ]], dtype=float32)]","[array([[-1.2371067, -1.427988 ]], dtype=float32)]"
02240__00693.jpg,"[array([[1.4014455, 2.3143613, 0.8954313, 1.160696 ]], dtype=float32)]","[array([[  0.6517092, -10.24848  ]], dtype=float32)]"
02240__00142.jpg,"[array([[1.4387528, 2.0845494, 0.9871423, 1.1676106]], dtype=float32)]","[array([[ 2.1240492, -7.8395033]], dtype=float32)]"
02240__00627.jpg,"[array([[1.1101161 , 1.5095161 , 0.74153847, 0.96443045]], dtype=float32)]","[array([[ 2.2138033, -8.295756 ]], dtype=float32)]"
02240__00780.jpg,"[array([[1.4282763, 2.8429594, 1.2791444, 0.9747658]], dtype=float32)]","[array([[  2.616588, -10.404006]], dtype=float32)]"
02240__00042.jpg,"[array([[1.0917461 , 0.50360733, 0.07061861, 0.        ]], dtype=float32)]","[array([[ 1.0635  , -1.427988]], dtype=float32)]"
02240__00354.jpg,"[array([[2.1092048 , 1.6180762 , 1.2481445 , 0.97370726]], dtype=float32)]","[array([[ 3.0619726, -8.155671 ]], dtype=float32)]"
02240__00115.jpg,"[array([[0.7845218 , 0.48216233, 0.02919512, 0.        ]], dtype=float32)]","[array([[-0.08680333, -3.717244  ]], dtype=float32)]"
02240__00565.jpg,"[array([[1.168045  , 1.2523249 , 0.8550486 , 0.15339562]], dtype=float32)]","[array([[ 1.0635, -6.0065]], dtype=float32)]"
02240__00219.jpg,"[array([[1.2583251 , 1.212337  , 0.73735094, 0.        ]], dtype=float32)]","[array([[ 0.88984257, -7.2224164 ]], dtype=float32)]"
02240__00185.jpg,"[array([[0.48143983, 1.6805271 , 0.94104964, 0.93822616]], dtype=float32)]","[array([[-1.2000674, -7.252081 ]], dtype=float32)]"
02240__00678.jpg,"[array([[0.6569017, 1.9078952, 0.8269935, 1.0401618]], dtype=float32)]","[array([[ -1.2371067, -10.585012 ]], dtype=float32)]"
02240__00456.jpg,"[array([[0.82781994, 0.76297647, 0.5976139 , 0.        ]], dtype=float32)]","[array([[ 0.29608634, -4.3387365 ]], dtype=float32)]"
02240__00820.jpg,"[array([[1.2180916, 1.1470455, 0.1864438, 0.       ]], dtype=float32)]","[array([[ 1.2173462, -8.762151 ]], dtype=float32)]"
02240__00244.jpg,"[array([[1.1139497, 1.1753521, 0.7422356, 0.       ]], dtype=float32)]","[array([[-0.22450152, -6.688256  ]], dtype=float32)]"
